Wavelength,Flux,BestFit,SkyFlux
4509.205,65.475,56.637,14.793
4510.244,62.409,53.571,14.575
4511.282,62.526,49.384,14.970
4512.322,60.311,49.552,15.093
4513.360,66.766,58.693,14.619
4514.399,97.034,90.763,14.449
4515.440,147.894,127.990,14.438
4516.478,184.619,140.569,14.325
4517.520,162.512,119.060,14.169
4518.559,96.863,80.888,14.177
4519.601,66.101,56.045,13.678
4520.641,56.097,45.176,13.987
4521.681,56.301,45.537,14.845
4522.724,59.424,48.394,14.922
4523.764,61.348,51.917,14.972
4524.807,59.135,56.074,14.371
4525.848,58.480,56.942,13.979
4526.892,63.423,54.076,13.718
4527.933,64.755,51.931,13.318
4528.975,66.172,53.280,13.289
4530.019,66.284,56.880,13.510
4531.061,65.515,60.953,13.651
4532.106,68.191,65.401,13.910
4533.149,67.994,68.478,14.433
4534.194,68.662,69.104,14.586
4535.237,70.519,66.903,14.069
4536.280,71.823,65.448,13.706
4537.327,70.274,67.610,13.904
4538.370,71.603,71.332,15.106
4539.417,72.931,73.351,15.216
4540.461,73.717,74.247,15.014
4541.508,73.108,73.449,14.482
4542.553,72.293,70.596,14.442
4543.598,69.654,67.568,15.331
4544.646,67.882,67.348,15.585
4545.691,67.474,67.243,14.814
4546.739,68.880,67.975,14.522
4547.785,70.216,67.995,14.782
4548.834,67.535,67.979,14.629
4549.881,70.263,68.382,13.805
4550.927,68.412,67.407,13.045
4551.977,69.877,65.932,13.587
4553.024,69.276,66.354,14.429
4554.074,69.667,69.560,14.335
4555.121,70.003,72.736,13.846
4556.172,68.230,73.538,13.546
4557.220,71.573,73.437,13.420
4558.268,68.833,73.736,14.276
4559.319,67.328,69.362,14.868
4560.368,67.618,64.161,14.529
4561.420,64.461,61.402,14.467
4562.469,62.997,60.926,14.818
4563.521,65.533,61.373,14.261
4564.571,66.415,64.481,14.147
4565.621,64.035,64.180,13.790
4566.674,63.514,64.978,12.898
4567.725,65.098,67.645,13.824
4568.778,67.450,69.022,14.289
4569.829,71.320,67.952,14.450
4570.883,67.522,68.717,14.617
4571.934,70.516,68.470,14.149
4572.989,69.935,66.424,13.614
4574.041,71.273,67.215,13.461
4575.093,70.792,69.912,13.867
4576.148,71.292,66.383,14.133
4577.201,70.965,66.432,14.208
4578.256,67.510,68.536,14.578
4579.309,68.307,67.994,14.612
4580.365,70.316,67.317,13.615
4581.419,68.415,69.337,13.198
4582.473,69.623,70.784,13.953
4583.530,68.293,70.303,13.844
4584.584,69.913,69.497,13.513
4585.641,66.769,68.029,13.161
